,x,y
0,0.0,0.83331615
1,0.01010101,0.8867787
2,0.02020202,1.1977855
3,0.030303031,0.72248656
4,0.04040404,0.7823081
5,0.05050505,0.6367383
6,0.060606062,1.1632154
7,0.07070707,1.1076407
8,0.08080808,1.7497909
9,0.09090909,1.3471997
10,0.1010101,1.4595244
11,0.11111111,1.1391459
12,0.121212125,0.745196
13,0.13131313,1.3465959
14,0.14141414,1.0865254
15,0.15151516,1.0862371
16,0.16161616,1.0231098
17,0.17171717,1.0190892
18,0.18181819,1.3951709
19,0.1919192,1.0512193
20,0.2020202,1.3172491
21,0.21212122,1.2916322
22,0.22222222,1.5138403
23,0.23232323,1.4738095
24,0.24242425,1.198902
25,0.25252524,1.1164482
26,0.26262626,1.4427446
27,0.27272728,1.1634681
28,0.28282827,1.5628079
29,0.2929293,0.9355223
30,0.3030303,1.5512254
31,0.3131313,1.6287913
32,0.32323232,1.5725505
33,0.33333334,1.4403014
34,0.34343433,1.4942226
35,0.35353535,1.4189166
36,0.36363637,1.6215146
37,0.37373737,1.302805
38,0.3838384,1.55168
39,0.3939394,1.5519112
40,0.4040404,0.94693875
41,0.41414142,1.2097569
42,0.42424244,1.0056124
43,0.43434343,1.5103346
44,0.44444445,1.4769747
45,0.45454547,1.4027452
46,0.46464646,1.6011964
47,0.47474748,1.549788
48,0.4848485,1.5286833
49,0.4949495,1.3103892
50,0.5050505,1.6993115
51,0.5151515,1.6904526
52,0.5252525,1.5725914
53,0.53535354,1.7846184
54,0.54545456,1.2923145
55,0.5555556,1.4752749
56,0.56565654,1.1709766
57,0.57575756,1.3997412
58,0.5858586,1.7118632
59,0.5959596,1.6546488
60,0.6060606,1.3134595
61,0.61616164,1.7700576
62,0.6262626,1.9540073
63,0.6363636,1.5682129
64,0.64646465,1.751291
65,0.65656567,1.4703519
66,0.6666667,1.6422528
67,0.6767677,1.7552047
68,0.68686867,1.56552
69,0.6969697,1.937327
70,0.7070707,1.655448
71,0.7171717,1.5985048
72,0.72727275,1.6493629
73,0.7373737,1.6365173
74,0.74747473,1.7813475
75,0.75757575,1.5990787
76,0.7676768,1.3832846
77,0.7777778,1.6951119
78,0.7878788,2.1658707
79,0.7979798,1.4473587
80,0.8080808,1.7581019
81,0.8181818,1.4288719
82,0.82828283,1.8378863
83,0.83838385,1.9201171
84,0.8484849,1.8359447
85,0.85858583,2.071413
86,0.86868685,2.0092854
87,0.8787879,1.692693
88,0.8888889,1.9480255
89,0.8989899,1.9057199
90,0.90909094,2.2518466
91,0.9191919,1.8263332
92,0.9292929,1.6586301
93,0.93939394,2.0426178
94,0.94949496,1.5045611
95,0.959596,1.7632992
96,0.969697,2.1218476
97,0.97979796,2.2088506
98,0.989899,1.6853586
99,1.0,2.017347
