,x,y
0,0.0,0.87133205
1,0.01010101,0.99701774
2,0.02020202,1.2520143
3,0.030303031,1.4074095
4,0.04040404,1.5669881
5,0.05050505,1.3338048
6,0.060606062,1.393194
7,0.07070707,1.9151235
8,0.08080808,1.2090778
9,0.09090909,1.7045662
10,0.1010101,1.3594316
11,0.11111111,1.8748437
12,0.121212125,1.8732053
13,0.13131313,1.7704483
14,0.14141414,1.6371248
15,0.15151516,1.7422577
16,0.16161616,1.5026553
17,0.17171717,1.4059577
18,0.18181819,1.553555
19,0.1919192,1.7020937
20,0.2020202,1.9754173
21,0.21212122,1.8112824
22,0.22222222,1.517691
23,0.23232323,1.4636757
24,0.24242425,1.2297543
25,0.25252524,1.6260693
26,0.26262626,1.094907
27,0.27272728,0.7013836
28,0.28282827,1.0460751
29,0.2929293,1.0662552
30,0.3030303,0.59955573
31,0.3131313,0.8528824
32,0.32323232,0.7092948
33,0.33333334,1.0590708
34,0.34343433,0.5610682
35,0.35353535,0.80960804
36,0.36363637,0.73399866
37,0.37373737,1.0307565
38,0.3838384,1.0290847
39,0.3939394,0.90789527
40,0.4040404,0.8442518
41,0.41414142,0.41360897
42,0.42424244,0.9876691
43,0.43434343,1.4503292
44,0.44444445,1.2058766
45,0.45454547,1.3276728
46,0.46464646,1.0374699
47,0.47474748,1.1437793
48,0.4848485,1.5686381
49,0.4949495,1.570965
50,0.5050505,1.4198958
51,0.5151515,1.7602453
52,0.5252525,1.594659
53,0.53535354,1.7930515
54,0.54545456,1.476899
55,0.5555556,1.88695
56,0.56565654,1.5026377
57,0.57575756,1.926143
58,0.5858586,2.456147
59,0.5959596,2.2599835
60,0.6060606,2.2741172
61,0.61616164,2.3399825
62,0.6262626,2.5067253
63,0.6363636,2.0600271
64,0.64646465,2.113021
65,0.65656567,2.0165012
66,0.6666667,2.2302556
67,0.6767677,2.0100293
68,0.68686867,2.3883066
69,0.6969697,1.9098762
70,0.7070707,2.1556706
71,0.7171717,2.0137134
72,0.72727275,1.7409085
73,0.7373737,1.4162765
74,0.74747473,1.6478467
75,0.75757575,1.6241509
76,0.7676768,2.1409612
77,0.7777778,1.9537162
78,0.7878788,1.1620018
79,0.7979798,1.467154
80,0.8080808,1.3127257
81,0.8181818,1.0006087
82,0.82828283,1.2270331
83,0.83838385,1.0303916
84,0.8484849,1.5948185
85,0.85858583,1.0537139
86,0.86868685,1.3720928
87,0.8787879,1.4869887
88,0.8888889,0.92524886
89,0.8989899,1.375823
90,0.90909094,1.6879934
91,0.9191919,1.6256831
92,0.9292929,1.4629805
93,0.93939394,1.5493382
94,0.94949496,1.6027197
95,0.959596,2.0622296
96,0.969697,1.6243402
97,0.97979796,1.7046018
98,0.989899,1.8538646
99,1.0,2.0440784
