,x,y
0,0.0,1.0542918
1,0.01010101,0.8895071
2,0.02020202,1.0529133
3,0.030303031,0.8481495
4,0.04040404,0.9142846
5,0.05050505,1.0943191
6,0.060606062,0.99875945
7,0.07070707,1.0417467
8,0.08080808,1.0578362
9,0.09090909,1.1548221
10,0.1010101,1.1754162
11,0.11111111,0.96490836
12,0.121212125,1.1526637
13,0.13131313,1.1242169
14,0.14141414,0.8791725
15,0.15151516,1.2272413
16,0.16161616,1.0709372
17,0.17171717,1.0228617
18,0.18181819,0.9532884
19,0.1919192,1.1457286
20,0.2020202,1.1666688
21,0.21212122,1.011375
22,0.22222222,1.3216766
23,0.23232323,0.88798296
24,0.24242425,1.2519083
25,0.25252524,1.3487278
26,0.26262626,1.2628691
27,0.27272728,1.2839416
28,0.28282827,1.2686089
29,0.2929293,1.2414569
30,0.3030303,1.1844251
31,0.3131313,1.3659424
32,0.32323232,1.3327914
33,0.33333334,1.1104395
34,0.34343433,1.0830286
35,0.35353535,1.2221946
36,0.36363637,1.2924381
37,0.37373737,1.3694003
38,0.3838384,1.0960851
39,0.3939394,1.2108592
40,0.4040404,1.3093336
41,0.41414142,1.2883463
42,0.42424244,1.2629155
43,0.43434343,1.4244925
44,0.44444445,1.208874
45,0.45454547,1.2995062
46,0.46464646,1.214859
47,0.47474748,1.2438161
48,0.4848485,1.2297761
49,0.4949495,1.3087429
50,0.5050505,1.3144994
51,0.5151515,1.1175227
52,0.5252525,1.3364941
53,0.53535354,1.1315501
54,0.54545456,1.0795553
55,0.5555556,1.0971148
56,0.56565654,1.0812442
57,0.57575756,1.2976142
58,0.5858586,1.3103338
59,0.5959596,1.3211856
60,0.6060606,1.2850118
61,0.61616164,1.1951625
62,0.6262626,1.0047653
63,0.6363636,1.3373116
64,0.64646465,1.4245224
65,0.65656567,1.2144259
66,0.6666667,1.188121
67,0.6767677,1.1802151
68,0.68686867,1.0607362
69,0.6969697,1.1402173
70,0.7070707,1.3877575
71,0.7171717,1.2868204
72,0.72727275,1.1591454
73,0.7373737,1.0924759
74,0.74747473,1.116437
75,0.75757575,1.3260416
76,0.7676768,1.2415087
77,0.7777778,1.2289866
78,0.7878788,1.2219461
79,0.7979798,1.165922
80,0.8080808,1.2664835
81,0.8181818,1.1928465
82,0.82828283,1.0115612
83,0.83838385,1.2531111
84,0.8484849,1.238927
85,0.85858583,1.161003
86,0.86868685,1.3900888
87,0.8787879,1.0964241
88,0.8888889,1.0862947
89,0.8989899,0.92213154
90,0.90909094,1.0867431
91,0.9191919,0.9373225
92,0.9292929,1.1713412
93,0.93939394,1.0417316
94,0.94949496,1.1738473
95,0.959596,0.91385144
96,0.969697,1.0289197
97,0.97979796,0.9754636
98,0.989899,1.0878327
99,1.0,0.9621159
